#{"t_start": 1786754468.8206692, "env_id": "None"}
r,l,t
-68.737536,100,49.355129
-45.22957,100,49.39065
-86.657956,100,49.423504
-71.939133,100,49.457766
-55.330892,100,49.489146
-52.503195,100,49.520752
-50.279145,100,49.554078
-57.480971,100,49.58322
-50.295392,100,49.617949
-44.697633,100,49.650192
-49.833933,100,49.683903
-56.662443,100,49.715658
-79.09092,100,49.752701
-78.215382,100,49.786204
-86.246345,100,49.820729
-96.065881,100,49.862579
-70.526243,100,49.899554
-57.402737,100,50.517893
-55.952094,100,50.555661
-57.086832,100,50.590133
-79.136418,100,50.624728
-42.928083,100,50.659542
-85.267705,100,50.697687
-101.458219,100,50.728852
-63.321452,100,50.762449
-51.7182,100,50.791959
-82.296483,100,50.824509
-49.717339,100,50.855712
-44.151536,100,50.886219
-44.300494,100,50.920583
-73.384013,100,50.953726
-81.837032,100,50.986099
-47.041166,100,51.017278
-61.476324,100,51.049884
-78.280063,100,51.081646
-76.423598,100,51.112755
-44.816206,100,51.145273
-66.903385,100,51.178462
-24.244363,41,51.190826
-55.026117,100,51.835336
-64.238165,100,51.869664
-59.323867,100,51.905118
-46.18713,100,51.937384
-41.686052,100,51.972612
-24.118161,40,51.986915
-36.605058,100,52.017928
-58.33439,100,52.046802
-47.005074,100,52.078137
-24.940312,45,52.093495
-70.939192,100,52.125133
-71.12171,100,52.157748
-72.410846,100,52.191442
-67.746101,100,52.222067
-53.583906,100,52.257338
-6.796385,33,52.267849
-51.117592,100,52.300982
-49.580832,100,52.333014
-58.211317,100,52.367541
-91.070372,100,52.399048
-50.321262,100,52.430375
-50.507923,100,52.463898
-75.268071,100,53.114694
-56.687129,100,53.150257
-34.637791,100,53.180443
-28.689076,46,53.201092
-54.515507,100,53.228833
-89.758097,100,53.270458
-56.55014,100,53.302744
-50.848669,100,53.326452
-28.239054,43,53.340484
-51.619643,100,53.368376
-86.843219,100,53.405275
-66.996571,100,53.430405
-75.867765,100,53.465246
-81.409037,100,53.501648
-56.084808,100,53.5346
-44.172732,100,53.562303
-58.672168,100,53.600662
-57.541972,100,53.6248
